variant,PER,delta_vs_original
original,0.10415631210677156,0.0
base,0.10419159159358547,3.52794868139078e-05
bandpass,0.1066437456951151,0.0024874335883435378
bandpass_wiener,0.14987207399489058,0.045715761888119016
full,0.23880672977526038,0.13465041766848881
